status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,iteration
completed,23,11,50,"{""h"": 16, ""cx"": 11, ""y"": 8, ""x"": 6, ""barrier"": 6, ""measure"": 4, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,4
completed,23,11,50,"{""h"": 12, ""cx"": 11, ""s"": 7, ""sdg"": 7, ""barrier"": 6, ""z"": 4, ""measure"": 4, ""x"": 2, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,5
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""y"": 6, ""barrier"": 6, ""sdg"": 4, ""z"": 4, ""s"": 4, ""measure"": 4, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,6
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""x"": 8, ""barrier"": 6, ""s"": 5, ""sdg"": 5, ""measure"": 4, ""y"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,7
completed,23,11,50,"{""h"": 18, ""cx"": 11, ""y"": 6, ""barrier"": 6, ""x"": 4, ""measure"": 4, ""s"": 2, ""z"": 2, ""sdg"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,8
completed,23,11,50,"{""h"": 16, ""cx"": 11, ""y"": 8, ""barrier"": 6, ""measure"": 4, ""sdg"": 3, ""s"": 3, ""z"": 2, ""x"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,9
completed,23,11,50,"{""h"": 18, ""cx"": 11, ""z"": 10, ""barrier"": 6, ""measure"": 4, ""x"": 2, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,10
completed,23,11,50,"{""h"": 14, ""cx"": 11, ""x"": 6, ""y"": 6, ""barrier"": 6, ""z"": 4, ""measure"": 4, ""sdg"": 2, ""s"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,11
completed,23,11,50,"{""h"": 12, ""cx"": 11, ""barrier"": 6, ""sdg"": 5, ""s"": 5, ""y"": 4, ""x"": 4, ""z"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,12
completed,23,11,50,"{""h"": 18, ""cx"": 11, ""y"": 8, ""barrier"": 6, ""measure"": 4, ""sdg"": 3, ""s"": 3, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,12,simulation,fixed_payload_experiments,"{""0000"": 1024}",1.0,13
